index_id,room_longitude,room_latitude,total_agent,floor_total,owner_gender,room_name,scope_name,estate_house_quantity,room_money,rf_kt,rf_src,rf_yg,rf_bx,rf_wsj,rf_cf,rf_rsq,rf_kd,rf_yt,rf_drc,rf_xzt,rf_pc,rf_xyj,rf_sf,rf_szt,rf_dsj,rf_unknow,zhuanzu,keduanzu,estate_name,puf_no,puf_bx,puf_xyj,puf_kd,puf_rsq,puf_cf,puf_wsj,puf_kt,puf_sf,puf_nq,puf_wbl,puf_kx,puf_dsj,agent_money,commission_price,area,fdxh_zxgl,fdxh_agj,fdxh_bxy,fdxh_bhj,fdxh_ds,fdxh_yh,fdxh_drz,fdxh_srz,fdxh_nvsheng,fdxh_nansheng,region_name,rent_type,only_girl,brand_type,subway_nums,subway_least_distance,decoration,floor,room_direction,hall_num,room_area,wei_num,business_type,is_zhongjie,room_num,pay_method,room_type
2782,120.21013,30.264547,1,28,1,8,27,5,6100.0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,654,0,1,1,0,1,1,1,1,1,0,0,0,1,0.0,0.0,50.0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,8,241,4,11,1,1,50.0,1,1,0,1,1,5
2783,120.181822,30.332856,1,13,1,0,43,49,4800.0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,226,0,0,1,0,1,1,1,1,1,0,1,0,1,0.0,0.0,98.0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,0,-1,4,8,1,2,98.0,1,1,0,2,3,5
2784,120.17872,30.285318,1,25,1,1,15,44,2300.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,222,0,1,1,1,0,1,1,0,1,0,0,0,0,0.0,0.0,120.0,0,0,0,0,0,0,0,0,0,0,6,1,0,3,6,983,3,3,9,1,20.0,2,1,0,3,4,1
2785,120.198888,30.263852,1,15,0,0,70,19,3000.0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,314,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,45.0,1,0,0,0,0,0,0,0,0,0,3,2,0,3,7,130,3,11,9,1,45.0,1,1,0,1,3,5
2786,120.113598,30.281186,1,15,0,1,16,17,1600.0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,23,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,170.0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,1216,4,8,9,2,20.0,2,1,0,4,6,1
2787,120.201211,30.2401893,1,30,1,0,54,15,5500.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,534,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,45.0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,5,467,3,7,1,1,45.0,1,1,0,1,3,5
2788,120.341123,30.308455,1,19,0,1,2,25,1350.0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,14,0,1,1,1,1,1,1,1,1,0,0,0,1,0.0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,1145,3,12,9,2,15.0,1,1,0,3,3,1
2789,120.205644,30.263961,1,7,1,0,13,16,3100.0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,216,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.0,1,0,0,0,0,0,0,0,0,0,3,2,0,3,8,581,3,3,9,1,40.0,1,1,0,1,4,5
2790,120.183993,30.269383,1,26,1,8,65,52,3300.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,45.0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,7,434,3,6,9,1,45.0,1,1,0,1,3,5
2791,120.383071,30.289895,1,40,1,1,3,206,1400.0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,3,0,1,1,1,1,1,1,1,1,0,0,0,0,0.0,0.0,140.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,991,3,14,9,2,25.0,2,1,0,4,3,1
