index_id,room_longitude,room_latitude,total_agent,floor_total,owner_gender,room_name,scope_name,estate_house_quantity,room_money,rf_kt,rf_src,rf_yg,rf_bx,rf_wsj,rf_cf,rf_rsq,rf_kd,rf_yt,rf_drc,rf_xzt,rf_pc,rf_xyj,rf_sf,rf_szt,rf_dsj,rf_unknow,zhuanzu,keduanzu,estate_name,puf_no,puf_bx,puf_xyj,puf_kd,puf_rsq,puf_cf,puf_wsj,puf_kt,puf_sf,puf_nq,puf_wbl,puf_kx,puf_dsj,agent_money,commission_price,area,fdxh_zxgl,fdxh_agj,fdxh_bxy,fdxh_bhj,fdxh_ds,fdxh_yh,fdxh_drz,fdxh_srz,fdxh_nvsheng,fdxh_nansheng,region_name,rent_type,only_girl,brand_type,subway_nums,subway_least_distance,decoration,floor,room_direction,hall_num,room_area,wei_num,business_type,is_zhongjie,room_num,pay_method,room_type
39,114.34633,22.7121409,1,32,2,0,313,3,3800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3455,0,0,0,0,0,0,0,0,0,0,0,0,0,1900.0,50.0,88.0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,-1,2,26,9,2,88.0,1,1,1,4,6,5
40,114.055487,22.697275,1,18,2,0,315,7,5500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3457,0,0,0,0,0,0,0,0,0,0,0,0,0,2750.0,50.0,173.84,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,-1,2,16,1,2,173.84,1,1,1,4,6,5
41,114.269234,22.725946,1,32,2,0,290,10,5100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3462,0,0,0,0,0,0,0,0,0,0,0,0,0,2550.0,50.0,140.0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,4,423,2,9,1,2,140.0,1,1,1,5,6,5
42,114.24822576,22.56150137,1,16,2,0,309,10,6200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3463,0,0,0,0,0,0,0,0,0,0,0,0,0,3100.0,50.0,102.19,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,-1,2,8,5,2,102.19,1,1,1,3,6,5
43,114.24628586,22.72412029,1,7,2,0,290,3,4200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3465,0,0,0,0,0,0,0,0,0,0,0,0,0,2100.0,50.0,120.0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,2,1432,2,2,9,2,120.0,1,1,1,3,6,5
44,114.24822576,22.56150137,1,16,2,0,309,10,6800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3463,0,0,0,0,0,0,0,0,0,0,0,0,0,3400.0,50.0,101.0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,-1,2,10,5,2,101.0,1,1,1,3,6,5
45,114.26026917,22.72417259,1,32,2,0,290,18,3800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3469,0,0,0,0,0,0,0,0,0,0,0,0,0,1900.0,50.0,107.0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,3,189,2,26,9,2,107.0,1,1,1,4,6,5
46,114.513164,22.5902206,1,23,2,0,319,1,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3475,0,0,0,0,0,0,0,0,0,0,0,0,0,3000.0,50.0,146.0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,-1,2,23,5,2,146.0,1,1,1,4,6,5
47,114.25975037,22.59276772,1,27,2,0,319,5,3500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3477,0,0,0,0,0,0,0,0,0,0,0,0,0,1750.0,50.0,97.9,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,-1,2,14,7,2,97.9,1,1,0,3,6,5
48,114.259295,22.7300334,1,26,2,0,290,7,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3479,0,0,0,0,0,0,0,0,0,0,0,0,0,2500.0,50.0,58.0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,3,975,2,6,9,0,58.0,1,1,1,1,6,5
